###################################################################################################################################################################
#BoxsideX=    30.0000 BoxsideY=    30.0000 BoxsideY=    30.0000 Temperature=   100.0000 
#NROT = 0000000006
###################################################################################################################################################################
#      Step     Energy       RMSD         DX         DY         DZ      ALPHA       BETA      GAMMA      NCONF ConfEnergy       Elec        VDW       SOLV   ROT[  1]  ROT[  2]  ROT[  3]  ROT[  4]  ROT[  5]  ROT[  6]
    290000     72.605      2.673  41.676234   6.161523  82.766250  66.777298  16.037579 242.054102     000000    120.304 -28.093024 -21.318723   1.713248    112.288   279.771   253.861   332.583   213.343   139.119
    300000     65.208      4.305  42.319380   5.137649  84.230588  45.141778  45.977341 249.499986     000000    117.941 -33.258896 -21.154738   1.680813    109.471   277.239   133.088    52.452   258.129    97.002
    310000     73.252      2.326  42.172645   5.795688  82.735866  89.906095   3.802694 229.041652     000000    119.049 -29.570526 -18.185440   1.959578    128.115   221.878   215.225   295.128   207.537    73.983
    320000     72.732      2.344  41.607839   7.381741  82.598146 110.157363 168.481259 203.646478     000000    116.183 -22.717516 -22.224210   1.491190     71.474   175.652   329.809   266.149   192.491   142.991
    330000     65.189      2.135  42.266130   5.675320  83.186225 106.662731  17.604765 194.647891     000000    122.345 -30.390406 -28.675165   1.909634     50.968   115.040   343.071   324.740   196.020   191.607
    340000     67.356      1.935  41.785900   6.414828  82.293760 130.503815 173.810770 179.243300     000000    119.079 -25.763129 -27.870698   1.910705     67.133   136.228   319.260   309.594   194.667   181.185
    350000     75.011      2.793  41.628782   7.205839  81.743881  65.060527 151.241765 276.522975     000000    119.766 -20.037451 -26.533728   1.815931     46.637   212.979    24.619   249.149   200.325   184.528
    360000     69.268      2.062  41.711388   6.249276  82.282297  34.006805 173.628762 280.401827     000000    117.637 -28.386133 -21.900232   1.917732    121.928   170.216   268.885   261.386   180.505   191.270
    370000     72.034      2.097  42.142233   6.426070  82.081626 336.254402 174.174553 354.251349     000000    118.250 -22.040714 -26.314875   2.139086    130.701   208.980   255.316   258.986   205.723   154.655
    380000     65.983      1.985  41.827776   5.403457  82.988216 344.181661   6.914980 325.870279     000000    116.670 -30.214761 -22.346178   1.874089     45.037   148.217   316.411   294.878   215.844   130.605
    390000     79.645      3.529  41.941542   4.749737  83.920795  11.959991   1.458832 272.751843     000000    126.473 -25.577318 -23.040749   1.790374    359.282   154.786   327.786   298.067   303.517   152.070
    400000     61.334      2.050  41.767358   5.455567  83.206915   5.594238   6.460621 321.057581     000000    117.685 -31.060709 -26.996178   1.706146      6.772   166.711    47.922   273.849   221.551   230.645
    410000     63.507      2.001  41.758467   5.605213  82.350059  92.588644   8.133260 224.704559     000000    118.280 -29.443903 -27.388076   2.058753     69.544   157.388    13.139   290.306   200.479   353.137
    420000     73.496      2.836  41.666793   7.304414  81.816498 137.620529 151.780998 182.152317     000000    119.433 -21.609425 -26.091409   1.764247     42.617   194.179   357.417   254.997   184.494   298.935
    430000     63.935      1.914  41.586387   5.457752  82.335980 172.692558   5.552904 149.318341     000000    117.321 -27.542569 -27.954652   2.110769     77.621   164.103   343.213   263.121   215.360    47.446
