###################################################################################################################################################################
#BoxsideX=    30.0000 BoxsideY=    30.0000 BoxsideY=    30.0000 Temperature=   100.0000 
#NROT = 0000000007
###################################################################################################################################################################
#      Step     Energy       RMSD         DX         DY         DZ      ALPHA       BETA      GAMMA      NCONF ConfEnergy       Elec        VDW       SOLV   ROT[  1]  ROT[  2]  ROT[  3]  ROT[  4]  ROT[  5]  ROT[  6]  ROT[  7]
    280000    -19.690      1.544  40.952090   4.834941  83.677149  96.589179   3.178982 250.842964     000000     34.964 -24.699984 -33.307823   3.353074    226.933   182.588   227.520   116.875    62.233   130.738    44.562
    290000     -1.545      2.929  42.317162   4.760607  83.693350 104.764927   5.189211 258.652457     000000     39.390 -29.384912 -15.422471   3.871555    227.459   234.559   153.914    59.584    60.953   163.737    71.794
    300000    -17.374      4.182  42.677208   5.075212  84.138615 101.577937   9.212274 253.554675     000000     39.916 -25.881385 -35.436523   4.028228    222.729   234.671    95.713    63.855    45.653   241.727    51.882
    310000    -17.121      4.405  43.410976   4.803039  83.881032 106.556093 177.433769 236.795116     000000     30.219 -25.226294 -26.651521   4.537512    237.865   188.018   119.803    86.401    63.764   214.582    56.069
    320000    -15.501      3.059  42.698917   4.842788  82.804470 124.799419 171.309296 219.833843     000000     36.857 -26.326404 -30.372986   4.340499    229.512   191.405   174.526    86.668    56.980   145.331    44.026
    330000     -5.241      2.878  42.493415   4.816222  82.335567 198.365144 161.343600 146.978286     000000     44.111 -22.688286 -31.023210   4.358740    219.804   158.381   174.004   102.775    94.892   177.744     4.719
    340000     -7.716      0.872  40.950966   5.194073  83.712799 244.604155   2.131511 100.114447     000000     33.396 -22.086227 -22.382971   3.356453    207.480   161.509   210.134   120.219    85.840   223.912   312.355
    350000    -11.367      2.310  41.862883   5.027241  83.196087 337.386018 162.700233   0.061602     000000     33.129 -20.435312 -27.901732   3.841239    218.300   148.244   173.413   106.016    97.402   142.958   331.853
    360000     -5.543      1.232  41.329580   4.649721  83.103454 267.312193 169.672991  67.477712     000000     41.278 -20.313070 -30.246765   3.738999    191.322   167.921   223.867    85.025   114.725   181.428   341.825
    370000     -2.611      2.020  41.781039   4.969248  83.019439 219.935278 166.303196 115.800045     000000     41.760 -19.828994 -28.363137   3.821583    212.346   184.847   215.688    91.916    95.449   311.971   352.960
    380000     -8.731      1.395  40.782507   5.038833  83.481537  90.509500 158.951212 242.157466     000000     33.376 -17.982542 -27.574160   3.449175    223.177   159.774   266.292    77.105    92.173   200.454   337.944
